"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","doc_id","dominant_topic"
0.0199818346957312,0,0,0.00333030578262186,0.0720557069330911,0.00272479564032698,0,0,0.133514986376022,0.198304571601574,0.010293672419013,0.164093248561913,0,0,0.00272479564032698,0.000302755071147442,0.028761731759007,0,0,0.250378443838934,0.000908265213442325,0,0.0496518316681804,0,0.0460187708144111,0.000302755071147442,0,0.0166515289131093,0,0,1,20
0.0015625,0.10625,0,0,0,0,0,0,0.0390625,0.003125,0,0,0.5703125,0,0.215625,0,0,0,0,0,0,0,0,0,0.0453125,0,0,0.0171875,0.0015625,0,2,13
0.00165180046250413,0.000660720185001652,0.224644862900562,0,0,0,0.352824578790882,0,0,0,0.0165180046250413,0,0,0,0,0.0991080277502478,0,0,0.064420218037661,0,0.0125536835150314,0,0,0,0.0109018830525273,0.214073339940535,0,0,0.00198216055500496,0.000660720185001652,3,7
0.0584768812330009,0.0179057116953762,0,0.00453309156844968,0.000226654578422484,0.0328649138712602,0.00702629193109701,0.014052583862194,0,0,0.014505893019039,0,0.014505893019039,0,0.726881233000907,0,0.000906618313689937,0,0,0.0165457842248413,0.0101994560290118,0,0.00203989120580236,0,0.042157751586582,0.03558476881233,0,0.000679963735267452,0.000906618313689937,0,4,15
0.416176470588235,0,0,0.0142156862745098,0.0161764705882353,0.00147058823529412,0,0.0431372549019608,0,0.0745098039215686,0.229901960784314,0,0.00441176470588235,0,0.0593137254901961,0,0,0,0,0.0573529411764706,0,0,0.0524509803921569,0,0.000490196078431373,0.00147058823529412,0,0.0181372549019608,0.0107843137254902,0,5,1
0.15791795324217,0.0299955888839876,0.00220555800617556,0,0.0185266872518747,0,0.000882223202470225,0,0.00220555800617556,0,0.00132333480370534,0,0,0,0.359064843405382,0,0.0617556241729157,0.0229378032642258,0,0.0683722981914424,0,0,0,0,0,0,0,0,0.274812527569475,0,6,15
0.143756558237146,0.000524658971668416,0.00131164742917104,0.0175760755508919,0.00183630640083945,0.0338405036726128,0,0.148478488982162,0,0.109653725078699,0.0149527806925498,0.00131164742917104,0,0.0133788037775446,0,0,0,0.00498426023084995,0.0102308499475341,0,0,0.0487932843651626,0.00157397691500525,0.447534102833158,0.000262329485834208,0,0,0,0,0,7,24
0.527798933739528,0.0297029702970297,0,0,0.0224676313785225,0,0.205255140898705,0,0,0.0019040365575019,0,0,0,0,0.0304645849200305,0.0228484386900229,0,0.0099009900990099,0.0613099771515613,0,0,0.075019040365575,0.00456968773800457,0,0.000380807311500381,0,0.00837776085300838,0,0,0,8,1
0.512182477967859,0.0653188180404355,0.00673924313115604,0,0.00725764644893727,0,0.104199066874028,0.0108864696734059,0.0326594090202177,0,0.017625712804562,0.0119232763089684,0,0.0134784862623121,0,0.0902021772939347,0,0,0.111975116640746,0.00103680663556247,0,0,0,0.000518403317781234,0.0108864696734059,0.00259201658890617,0,0,0.000518403317781234,0,9,1
0.617454545454545,0.0821818181818182,0.112,0,0.00872727272727273,0,0.032,0.00509090909090909,0.0189090909090909,0,0,0.00218181818181818,0,0,0.109090909090909,0.00363636363636364,0,0.00145454545454545,0.00436363636363636,0,0,0,0.00145454545454545,0,0,0.00145454545454545,0,0,0,0,10,1
